"Label (Grouping)","Oregon!!Count","Oregon!!Percent"
"        50 to 54 years","125,382","5.9%"
"        55 to 59 years","134,719","6.3%"
"        60 to 64 years","143,274","6.7%"
"        65 to 69 years","139,588","6.5%"
"        70 to 74 years","114,863","5.4%"
"        75 to 79 years","76,315","3.6%"
"        80 to 84 years","47,097","2.2%"
"        85 years and over","51,658","2.4%"
"        Selected Age Categories","",""
"            16 years and over","1,766,700","82.6%"
"            18 years and over","1,717,750","80.3%"
"            21 years and over","1,637,714","76.5%"
"            62 years and over","515,792","24.1%"
"            65 years and over","429,521","20.1%"
"MEDIAN AGE BY SEX","",""
"    Both sexes","39.9","(X)"
"    Male","39.0","(X)"
"    Female","40.9","(X)"
"RACE","",""
"    Total population","4,237,256","100.0%"
"        One Race","3,793,917","89.5%"
"            White","3,169,096","74.8%"
"            Black or African American","82,655","2.0%"
"            American Indian and Alaska Native","62,993","1.5%"
"            Asian","194,538","4.6%"
"            Native Hawaiian and Other Pacific Islander","19,204","0.5%"
"            Some Other Race","265,431","6.3%"
"        Two or More Races","443,339","10.5%"
"TOTAL RACES TALLIED [1]","",""
"    Total races tallied","4,714,460","111.3%"
"        White alone or in combination with one or more other races","3,593,558","84.8%"
"        Black or African American alone or in combination with one or more other races","134,692","3.2%"
"        American Indian and Alaska Native alone or in combination with one or more other races","185,726","4.4%"
"        Asian alone or in combination with one or more other races","275,296","6.5%"
"        Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","39,709","0.9%"
"        Some Other Race alone or in combination with one or more other races","485,479","11.5%"
"HISPANIC OR LATINO","",""
"    Total population","4,237,256","100.0%"
"        Hispanic or Latino (of any race)","588,757","13.9%"
"        Not Hispanic or Latino","3,648,499","86.1%"
"HISPANIC OR LATINO BY RACE","",""
"    Total population","4,237,256","100.0%"
"        Hispanic or Latino","588,757","13.9%"
"            White alone","132,938","3.1%"
"            Black or African American alone","3,997","0.1%"
"            American Indian and Alaska Native alone","20,951","0.5%"
"            Asian alone","2,741","0.1%"
"            Native Hawaiian and Other Pacific Islander alone","1,007","0.0%"
"            Some Other Race alone","242,469","5.7%"
"            Two or More Races","184,654","4.4%"
"        Not Hispanic or Latino","3,648,499","86.1%"
"            White alone","3,036,158","71.7%"
"            Black or African American alone","78,658","1.9%"
"            American Indian and Alaska Native alone","42,042","1.0%"
"            Asian alone","191,797","4.5%"
"            Native Hawaiian and Other Pacific Islander alone","18,197","0.4%"
"            Some Other Race alone","22,962","0.5%"
"            Two or More Races","258,685","6.1%"
"RELATIONSHIP","",""
"    Total population","4,237,256","100.0%"
"        In households","4,140,326","97.7%"
"            Householder","1,671,917","39.5%"
"            Opposite-sex spouse","768,196","18.1%"
"            Same-sex spouse","11,930","0.3%"
"            Opposite-sex unmarried partner","136,988","3.2%"
"            Same-sex unmarried partner","9,056","0.2%"
"            Child [2]","1,081,301","25.5%"
"                Under 18 years","763,424","18.0%"
"            Grandchild","79,668","1.9%"
"                Under 18 years","59,534","1.4%"
"            Other relatives","169,616","4.0%"
"            Nonrelatives","211,654","5.0%"
"        In group quarters","96,930","2.3%"
"            Institutionalized population:","37,498","0.9%"
"                Male","26,097","0.6%"
"                Female","11,401","0.3%"
"            Noninstitutionalized population:","59,432","1.4%"
"                Male","30,456","0.7%"
"                Female","28,976","0.7%"
"HOUSEHOLDS BY TYPE","",""
"    Total households","1,671,983","100.0%"
"        Married couple household","780,141","46.7%"
"            With own children under 18 [3]","278,211","16.6%"
"        Cohabiting couple household","146,042","8.7%"
"            With own children under 18 [3]","39,565","2.4%"
"        Male householder, no spouse or partner present:","313,134","18.7%"
"            Living alone","205,574","12.3%"
"                65 years and over","69,625","4.2%"
"            With own children under 18 [3]","25,959","1.6%"
"        Female householder, no spouse or partner present:","432,666","25.9%"
"            Living alone","249,008","14.9%"
"                65 years and over","128,528","7.7%"
"            With own children under 18 [3]","67,096","4.0%"
"        Households with individuals under 18 years","463,332","27.7%"
"        Households with individuals 65 years and over","558,765","33.4%"
"HOUSING OCCUPANCY","",""
"    Total housing units","1,813,747","100.0%"
"        Occupied housing units","1,671,983","92.2%"
"        Vacant housing units","141,764","7.8%"
"            For rent","37,505","2.1%"
"            Rented, not occupied","3,823","0.2%"
"            For sale only","12,949","0.7%"
"            Sold, not occupied","5,533","0.3%"
"            For seasonal, recreational, or occasional use","53,443","2.9%"
"            All other vacants","28,511","1.6%"
"VACANCY RATES","",""
"    Homeowner vacancy rate (percent) [4]","1.2","(X)"
"    Rental vacancy rate (percent) [5]","5.5","(X)"
"HOUSING TENURE","",""
"    Occupied housing units","1,671,983","100.0%"
"        Owner-occupied housing units","1,031,887","61.7%"
"        Renter-occupied housing units","640,096","38.3%"
