"Label (Grouping)","Michigan!!Count","Michigan!!Percent"
"            Opposite-sex unmarried partner","272,460","2.7%"
"            Same-sex unmarried partner","12,284","0.1%"
"            Child [2]","2,855,021","28.3%"
"                Under 18 years","1,916,641","19.0%"
"            Grandchild","213,132","2.1%"
"                Under 18 years","157,044","1.6%"
"            Other relatives","339,687","3.4%"
"            Nonrelatives","289,367","2.9%"
"        In group quarters","221,716","2.2%"
"            Institutionalized population:","102,773","1.0%"
"                Male","68,813","0.7%"
"                Female","33,960","0.3%"
"            Noninstitutionalized population:","118,943","1.2%"
"                Male","59,587","0.6%"
"                Female","59,356","0.6%"
"HOUSEHOLDS BY TYPE","",""
"    Total households","4,041,760","100.0%"
"        Married couple household","1,831,996","45.3%"
"            With own children under 18 [3]","647,653","16.0%"
"        Cohabiting couple household","284,772","7.0%"
"            With own children under 18 [3]","95,805","2.4%"
"        Male householder, no spouse or partner present:","797,856","19.7%"
"            Living alone","564,737","14.0%"
"                65 years and over","171,024","4.2%"
"            With own children under 18 [3]","60,949","1.5%"
"        Female householder, no spouse or partner present:","1,127,136","27.9%"
"            Living alone","634,059","15.7%"
"                65 years and over","325,950","8.1%"
"            With own children under 18 [3]","200,716","5.0%"
"        Households with individuals under 18 years","1,128,766","27.9%"
"        Households with individuals 65 years and over","1,294,461","32.0%"
"HOUSING OCCUPANCY","",""
"    Total housing units","4,570,173","100.0%"
"        Occupied housing units","4,041,760","88.4%"
"        Vacant housing units","528,413","11.6%"
"            For rent","100,095","2.2%"
"            Rented, not occupied","11,186","0.2%"
"            For sale only","38,276","0.8%"
"            Sold, not occupied","19,708","0.4%"
"            For seasonal, recreational, or occasional use","242,831","5.3%"
"            All other vacants","116,317","2.5%"
"VACANCY RATES","",""
"    Homeowner vacancy rate (percent) [4]","1.3","(X)"
"    Rental vacancy rate (percent) [5]","7.8","(X)"
"HOUSING TENURE","",""
"    Occupied housing units","4,041,760","100.0%"
"        Owner-occupied housing units","2,865,305","70.9%"
"        Renter-occupied housing units","1,176,455","29.1%"
