"Label (Grouping)","New York!!Count","New York!!Percent"
"        85 years and over","290,062","2.8%"
"        Selected Age Categories","",""
"            16 years and over","8,661,810","83.0%"
"            18 years and over","8,422,108","80.7%"
"            21 years and over","8,012,223","76.8%"
"            62 years and over","2,330,856","22.3%"
"            65 years and over","1,930,176","18.5%"
"MEDIAN AGE BY SEX","",""
"    Both sexes","39.0","(X)"
"    Male","37.6","(X)"
"    Female","40.4","(X)"
"RACE","",""
"    Total population","20,201,249","100.0%"
"        One Race","18,433,786","91.3%"
"            White","11,143,349","55.2%"
"            Black or African American","2,986,172","14.8%"
"            American Indian and Alaska Native","149,690","0.7%"
"            Asian","1,933,127","9.6%"
"            Native Hawaiian and Other Pacific Islander","10,815","0.1%"
"            Some Other Race","2,210,633","10.9%"
"        Two or More Races","1,767,463","8.7%"
"TOTAL RACES TALLIED [1]","",""
"    Total races tallied","22,107,565","109.4%"
"        White alone or in combination with one or more other races","12,534,037","62.0%"
"        Black or African American alone or in combination with one or more other races","3,533,873","17.5%"
"        American Indian and Alaska Native alone or in combination with one or more other races","399,803","2.0%"
"        Asian alone or in combination with one or more other races","2,173,719","10.8%"
"        Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","40,578","0.2%"
"        Some Other Race alone or in combination with one or more other races","3,425,555","17.0%"
"HISPANIC OR LATINO","",""
"    Total population","20,201,249","100.0%"
"        Hispanic or Latino (of any race)","3,948,032","19.5%"
"        Not Hispanic or Latino","16,253,217","80.5%"
"HISPANIC OR LATINO BY RACE","",""
"    Total population","20,201,249","100.0%"
"        Hispanic or Latino","3,948,032","19.5%"
"            White alone","544,442","2.7%"
"            Black or African American alone","227,150","1.1%"
"            American Indian and Alaska Native alone","94,782","0.5%"
"            Asian alone","16,798","0.1%"
"            Native Hawaiian and Other Pacific Islander alone","4,718","0.0%"
"            Some Other Race alone","2,013,526","10.0%"
"            Two or More Races","1,046,616","5.2%"
"        Not Hispanic or Latino","16,253,217","80.5%"
"            White alone","10,598,907","52.5%"
"            Black or African American alone","2,759,022","13.7%"
"            American Indian and Alaska Native alone","54,908","0.3%"
"            Asian alone","1,916,329","9.5%"
"            Native Hawaiian and Other Pacific Islander alone","6,097","0.0%"
"            Some Other Race alone","197,107","1.0%"
"            Two or More Races","720,847","3.6%"
"RELATIONSHIP","",""
"    Total population","20,201,249","100.0%"
"        In households","19,592,466","97.0%"
"            Householder","7,715,126","38.2%"
"            Opposite-sex spouse","3,131,128","15.5%"
"            Same-sex spouse","48,410","0.2%"
"            Opposite-sex unmarried partner","499,988","2.5%"
"            Same-sex unmarried partner","35,070","0.2%"
"            Child [2]","5,689,963","28.2%"
"                Under 18 years","3,540,446","17.5%"
"            Grandchild","433,856","2.1%"
"                Under 18 years","323,477","1.6%"
"            Other relatives","1,223,915","6.1%"
"            Nonrelatives","815,010","4.0%"
"        In group quarters","608,783","3.0%"
"            Institutionalized population:","186,286","0.9%"
"                Male","109,734","0.5%"
"                Female","76,552","0.4%"
"            Noninstitutionalized population:","422,497","2.1%"
"                Male","218,474","1.1%"
"                Female","204,023","1.0%"
"HOUSEHOLDS BY TYPE","",""
"    Total households","7,715,172","100.0%"
"        Married couple household","3,179,578","41.2%"
"            With own children under 18 [3]","1,228,929","15.9%"
"        Cohabiting couple household","535,084","6.9%"
"            With own children under 18 [3]","158,809","2.1%"
"        Male householder, no spouse or partner present:","1,530,430","19.8%"
"            Living alone","1,016,806","13.2%"
"                65 years and over","302,815","3.9%"
"            With own children under 18 [3]","115,331","1.5%"
"        Female householder, no spouse or partner present:","2,470,080","32.0%"
"            Living alone","1,298,860","16.8%"
"                65 years and over","625,541","8.1%"
"            With own children under 18 [3]","423,455","5.5%"
"        Households with individuals under 18 years","2,203,793","28.6%"
"        Households with individuals 65 years and over","2,466,563","32.0%"
"HOUSING OCCUPANCY","",""
"    Total housing units","8,488,066","100.0%"
"        Occupied housing units","7,715,172","90.9%"
"        Vacant housing units","772,894","9.1%"
"            For rent","201,546","2.4%"
"            Rented, not occupied","28,914","0.3%"
"            For sale only","61,694","0.7%"
"            Sold, not occupied","29,879","0.4%"
"            For seasonal, recreational, or occasional use","248,236","2.9%"
"            All other vacants","202,625","2.4%"
"VACANCY RATES","",""
"    Homeowner vacancy rate (percent) [4]","1.5","(X)"
"    Rental vacancy rate (percent) [5]","5.1","(X)"
"HOUSING TENURE","",""
"    Occupied housing units","7,715,172","100.0%"
"        Owner-occupied housing units","3,954,978","51.3%"
"        Renter-occupied housing units","3,760,194","48.7%"
