"Year","Class","Name","Gender","Mark","Event","State"
"2010","4A","Tynia Gaither, Osceola (Kissimmee), 11.58","Girls"," 11.58","100m","Florida"
"2010","3A","Robin Reynolds, Miami Jackson, 11.79","Girls"," 11.79","100m","Florida"
"2010","2A","Octavious Freeman, Lake Wales, 11.39","Girls"," 11.39","100m","Florida"
"2010","1A","Kayla Parker, Port St. Joe, 12.23","Girls"," 12.23","100m","Florida"
"2011","4A","Tynia Gaither, Osceola (Kissimmee), 11.41","Girls"," 11.41","100m","Florida"
"2011","3A","Robin Reynolds, Miami Jackson, 11.67","Girls"," 11.67","100m","Florida"
"2011","2A","Octavious Freeman, Lake Wales, 11.77","Girls"," 11.77","100m","Florida"
"2011","1A","Mychae Williams, Graceville, 12.59","Girls"," 12.59","100m","Florida"
"2012","4A","Shayla Sanders, Boyd Anderson (Lauderdale Lakes), 11.63","Girls"," 11.63","100m","Florida"
"2012","3A","Tristie Johnson, Ed White (Jacksonville), 11.86","Girls"," 11.86","100m","Florida"
"2012","2A","Robin Reynolds, Miami Jackson, 11.79","Girls"," 11.79","100m","Florida"
"2012","1A","Daryth Gayles, Holy Trinity (Melbourne), 12.59","Girls"," 12.59","100m","Florida"
"2013","4A","Kali Davis-White, Boyd Anderson (Lauderdale Lakes), 11.70","Girls"," 11.70","100m","Florida"
"2013","3A","Kaylin Whitney, East Ridge (Clermont), 11.79","Girls"," 11.79","100m","Florida"
"2013","2A","Deanna Hill, Lake Highland Prep (Orlando), 11.72","Girls"," 11.72","100m","Florida"
"2013","1A","Assata Trader, Shorecrest Prep (St. Petersburg), 12.12 Chandra Cheeseborough, Ribault (Jacksonville), 11.30","Girls"," 11.30","100m","Florida"
"1976","4A","Chandra Cheeseborough, Ribault (Jacksonville), 11.0","Girls"," 11.0","100y","Florida"
"1976","3A","Rena Baker, Rockledge, 11.2","Girls"," 11.2","100y","Florida"
"1976","2A","Rose Wilkins, Ely (Pompano Beach), 11.5","Girls"," 11.5","100y","Florida"
"1976","A","s Country Day (Orange Park), 11.5","Girls"," 11.5","100y","Florida"
"1977","4A","Chandra Cheeseborough, Ribault (Jacksonville), 10.3","Girls"," 10.3","100y","Florida"
"1977","3A","Brenda Robbins, Dillard (Fort Lauderdale), 10.9","Girls"," 10.9","100y","Florida"
"1977","2A","Christine Harris, Mount Dora, 11.3","Girls"," 11.3","100y","Florida"
"1977","A","Barbara Manito, St. Brendan (Miami), 11.8","Girls"," 11.8","100y","Florida"
"1978","4A","Cornelia Jackson, Miami Northwestern, 11.1","Girls"," 11.1","100y","Florida"
"1978","3A","Brenda Robins, Dillard (Fort Lauderdale), 11.1","Girls"," 11.1","100y","Florida"
"1978","2A","Christine Harris, Mount Dora, 11.1","Girls"," 11.1","100y","Florida"
"1978","A","Vicki Wolfe, Atlantic Christian (Miami), 11.7","Girls"," 11.7","100y","Florida"
"1979","4A","Cornelia Jackson, Miami Northwestern, 11","Girls"," 11",NA,"Florida"
"1979","3A","Cefornia Polk, DeSoto County (Arcadia), 11.3","Girls"," 11.3","100y","Florida"
"1979","2A","Jackie McCloud, Hamilton County (Jasper), 11.1","Girls"," 11.1","100y","Florida"
"1979","A","Robin Miller, Mount Dora Bible, 12.13","Girls"," 12.13","100y","Florida"
"1980","4A","Senerchia Gray, DeLand, 11.35","Girls"," 11.35","100y","Florida"
"1980","3A","Cefornia Polk, DeSoto County (Arcadia), 11.26","Girls"," 11.26","100y","Florida"
"1980","2A","Mary Goff, Palmetto, 11.43","Girls"," 11.43","100y","Florida"
"1980","A","Tresa Cleveland, Trinity Prep (Winter Park), 12.04","Girls"," 12.04","100y","Florida"
"1981","4A","Wanda Fort, Hialeah Miami Lakes, 10.7","Girls"," 10.7","100y","Florida"
"1981","3A","Cefornia Polk, DeSoto County (Arcadia), 10.9","Girls"," 10.9","100y","Florida"
"1981","2A","Jackie Morris, Williston, 11.5","Girls"," 11.5","100y","Florida"
"1981","A","Lisa Marie Pearson, Florida School for the Deaf (St. Augustine), 11.7","Girls"," 11.7","100y","Florida"
"1982","4A","Michelle Finn, Oak Ridge (Orlando), 10.9","Girls"," 10.9","100y","Florida"
"1982","3A","Lois White, Atlantic (Delray Beach), 11.0","Girls"," 11.0","100y","Florida"
"1982","2A","Debra McCaskell, Flagler Palm Coast, 11.6","Girls"," 11.6","100y","Florida"
"1982","A","Lisa Marie Pearson, Florida School for the Deaf (St. Augustine), 11.4","Girls"," 11.4","100y","Florida"
"1983","4A","Michelle Finn, Oak Ridge (Orlando), 10.9","Girls"," 10.9","100y","Florida"
"1983","3A","Tiffany McDaniel, Madison County (Madison), 11.1","Girls"," 11.1","100y","Florida"
"1983","2A","Karen Joseph, Pahokee, 11.7","Girls"," 11.7","100y","Florida"
"1983","A","Kara Hutchinson, Maclay (Tallahassee), 12.3","Girls"," 12.3","100y","Florida"
"1984","4A","Angela Curry, Evans (Orlando), 10.7","Girls"," 10.7","100y","Florida"
"1984","3A","Tracy Cofield, Leon (Tallahassee), 11.1","Girls"," 11.1","100y","Florida"
"1984","2A","Tiffany McDaniel, Madison County (Madison), 11.5","Girls"," 11.5","100y","Florida"
"1984","A","Kara Hutchinson, Maclay (Tallahassee), 11.6","Girls"," 11.6","100y","Florida"
"1985","4A","Angela Curry, Evans (Orlando), 10.8","Girls"," 10.8","100y","Florida"
"1985","3A","Angela Polite, Suwannee (Live Oak), 10.9","Girls"," 10.9","100y","Florida"
"1985","2A","Kanyon Singletary, Hamilton County (Jasper), 11.5","Girls"," 11.5","100y","Florida"
"1985","A","Patsey Bowie, FAMU (Tallahassee), 11.5","Girls"," 11.5","100y","Florida"
"1986","4A","Caroline Williams, Palm Beach Gardens, 12.23","Girls"," 12.23","100m","Florida"
"1986","3A","Angela Polite, Suwannee (Live Oak), 11.78","Girls"," 11.78","100m","Florida"
"1986","2A","Kanyon Singletary, Hamilton County (Jasper), 12.34","Girls"," 12.34","100m","Florida"
"1986","A","Roslyn McKinnie, Graceville, 12.50","Girls"," 12.50","100m","Florida"
"1987","4A","Caroline Williams, Palm Beach Gardens, 11.9","Girls"," 11.9","100m","Florida"
"1987","3A","Angela Polite, Suwannee (Live Oak), 11.72","Girls"," 11.72","100m","Florida"
"1987","2A","Kanyon Singletary, Hamilton County (Jasper), 12.31","Girls"," 12.31","100m","Florida"
"1987","A","Stacy Johnson, Trinity Prep (Winter Park),","Girls","12.5","100m","Florida"
"2014","4A","Kaylin Whitney, East Ridge (Clermont), 11.48","Girls"," 11.48","100m","Florida"
"2014","3A","Jadzia Beasley, Lincoln (Tallahassee), 11.78","Girls"," 11.78","100m","Florida"
"2014","2A","Deanna Hill, Lake Highland Prep (Orlando), 11.94","Girls"," 11.94","100m","Florida"
"2014","1A","Teahna Daniels, First Academy (Orlando), 11.74","Girls"," 11.74","100m","Florida"
"2015","4A","Krystal Sparling, St. Thomas Aquinas (Fort Lauderdale), 11:46","Girls","11.46","100m","Florida"
"2015","3A","Twanisha Terry, Miami Northwestern, 11.44","Girls"," 11.44","100m","Florida"
"2015","2A","Alfreda Steele, Pasco (Dade City), 11.44","Girls"," 11.44","100m","Florida"
"2015","1A","Teahna Daniels, First Academy (Orlando), 11.78","Girls"," 11.78","100m","Florida"
"2016","4A","Amuru Patterson, Haines City, 11.92","Girls"," 11.92","100m","Florida"
"2016","3A","Twanisha Terry, Miami Northwestern, 11.72","Girls"," 11.72","100m","Florida"
"2016","2A","Ka Tia Seymour, Palatka, 11.85","Girls"," 11.85","100m","Florida"
"2016","1A","Jalesia Tillman, Oak Hall (Gainesville), 12.36","Girls"," 12.36","100m","Florida"
"2017","4A","Symone Mason, Miami Southridge, 11.70","Girls"," 11.70","100m","Florida"
"2017","3A","Twanisha Terry, Miami Northwestern, 11.75","Girls"," 11.75","100m","Florida"
"2017","2A","Katia Seymour, Palatka, 11.57","Girls"," 11.57","100m","Florida"
"2017","1A","Saraiah Walkes, Out-of-Door (Sarasota), 12.35","Girls"," 12.35","100m","Florida"
"2018","4A","Zatoria Thompson, St. Thomas Aquinas (Fort Lauderdale), 11.62","Girls"," 11.62","100m","Florida"
"2018","3A","Briana Williams, Northeast (Oakland Park), 11.31","Girls"," 11.31","100m","Florida"
"2018","2A","Aniya Harper, Westside (Jacksonville), 11.94","Girls"," 11.94","100m","Florida"
"2018","1A","Saraiah Walkes, Out-of-Door (Sarasota), 12.18","Girls"," 12.18","100m","Florida"
"2019","4A","Jacious Sears, Palm Beach Gardens, 11.72","Girls"," 11.72","100m","Florida"
"2019","3A","Makhaila Mills, Creekside (St. Johns), 11.66","Girls"," 11.66","100m","Florida"
"2019","2A","Sherri-Ann Norton, American Heritage (Plantation), 11.94","Girls"," 11.94","100m","Florida"
"2019","1A","Taman Davis, Oak Hall (Gainesville), 11.47","Girls"," 11.47","100m","Florida"
"1981","A","A Jeanie Messinese, Beaches Chapel (Neptune Beach), 2:20.6","Girls"," 2:20.6","880y","Florida"
"1982","4A","A Sandra Braasch, Orange Park, 2:13.9","Girls"," 2:13.9","880y","Florida"
"1982","3A","A Kelly Hackler, Eustis, 2:14.3","Girls"," 2:14.3","880y","Florida"
"1982","2A","A Beth Adkins, Newberry, 2:19.8","Girls"," 2:19.8","880y","Florida"
"1982","A","A Andrienne Politowicz, Trinity Prep (Winter Park), 2:25.2","Girls"," 2:25.2","880y","Florida"
"1983","4A","A Sandra Braasch, Orange Park, 2:13.5","Girls"," 2:13.5","880y","Florida"
"1983","3A","A Maureen Bolyea, Barron Collier (Naples), 02:16.2","Girls"," 02:16.2","880y","Florida"
"1983","2A","A Stephanie Tower, Westminster Christian (Miami), 2:24.0","Girls"," 2:24.0","880y","Florida"
"1983","A","A Katie Sams, Trinity Prep (Winter Park), 02:23.6","Girls"," 02:23.6","880y","Florida"
"1984","4A","A Sandra Braasch, Orange Park, 2:13.6","Girls"," 2:13.6","880y","Florida"
"1984","3A","A Angie Crook, Godby (Tallahassee), 2:19.4","Girls"," 2:19.4","880y","Florida"
"1984","2A","A Whitney Staed, Father Lopez (Daytona Beach), 2:18.9","Girls"," 2:18.9","880y","Florida"
"1984","A","A Katie Sams, Trinity Prep (Winter Park), 02:22.3","Girls"," 02:22.3","880y","Florida"
"1985","4A","A Shawnda Martin, Seminole (Sanford), 02:10.2","Girls"," 02:10.2","880y","Florida"
"1985","3A","A Stephanie Kennear, Fort Lauderdale, 2:18.8","Girls"," 2:18.8","880y","Florida"
"1985","2A","A Whitney Staed, Father Lopez (Daytona Beach), 2:22.0","Girls"," 2:22.0","880y","Florida"
"1985","A","A Katie Sams, Trinity Prep (Winter Park), 02:21.9","Girls"," 02:21.9","880y","Florida"
"1986","4A","A Juanita Boatwright, Dillard (Fort Lauderdale), 2:17.53","Girls"," 2:17.53","880y","Florida"
"1986","3A","A Lora Sapp, Bradford (Starke), 2:18.90","Girls"," 2:18.90","880y","Florida"
"1986","2A","A Melanie Bloch, Pensacola Catholic, 2:14.64","Girls"," 2:14.64","880y","Florida"
"1986","A","A Michele Cromer, Maclay (Tallahassee), 02:25.3","Girls"," 02:25.3","880y","Florida"
"1987","4A","A Darlene Reed, West Orange (Winter Garden), 2:14.39","Girls"," 2:14.39","880y","Florida"
"1987","3A","A Karla Severs, Astronaut (Titusville), 2:17.64","Girls"," 2:17.64","880y","Florida"
"1987","2A","A Melanie Bloch, Pensacola Catholic, 2:18.65","Girls"," 2:18.65","880y","Florida"
"1987","A","A Mara Kunitz, Dade Christian (Miami), 02:26.1","Girls"," 02:26.1","880y","Florida"
"1988","4A","A Bobette Taylor, Miami Norland, 2:17.4","Girls"," 2:17.4","880y","Florida"
"1988","3A","A Shawnda Martin, Seminole (Sanford), 02:10.5","Girls"," 02:10.5","880y","Florida"
"1988","2A","A Shirley Flowers, Lake Placid, 2:23.1","Girls"," 2:23.1","880y","Florida"
"1988","A","A Carla Williams, Graceville, 2:25.0","Girls"," 2:25.0","880y","Florida"
"1989","4A","A Bobette Taylor, Miami Norland, 2:17.2","Girls"," 2:17.2","880y","Florida"
"1989","3A","A Karla Severs, Astronaut (Titusville), 2:15.3","Girls"," 2:15.3","880y","Florida"
"1989","2A","A Marlene Gardner, Lecanto, 2:20.67","Girls"," 2:20.67","880y","Florida"
"1989","A","A Luchcystra Sweet, Lakeland Christian, 02:25.2","Girls"," 02:25.2","880y","Florida"
"1990","4A","A Teri Hamilton, Miramar, 2:17.0","Girls"," 2:17.0","800m","Florida"
"1990","3A","A Darlene Godfrey, Rutherford (Springfield), 02:17.2","Girls"," 02:17.2","800m","Florida"
"1990","2A","A Marlene Gardner, Lecanto, 2:18.1","Girls"," 2:18.1","800m","Florida"
"1990","A","A Julian Reynolds, Benjamin (North Palm Beach), 2:20.63","Girls"," 2:20.63","800m","Florida"
"1991","4A","A Giacoda Ganzy, Palm Beach Lakes, 2:18.74","Girls"," 2:18.74","800m","Florida"
"1991","3A","A Heather Williams, Buchholz (Gainesville), 02:14.9","Girls"," 02:14.9","800m","Florida"
"1991","2A","A Carissa Bennett, Florida High (Tallahassee), 02:18.8","Girls"," 02:18.8","800m","Florida"
"1991","A","A Julian Reynolds, Benjamin (North Palm Beach), 2:20.0","Girls"," 2:20.0","800m","Florida"
"1992","4A","A Megan Meadows, Largo, 2:15.25","Girls"," 2:15.25","800m","Florida"
"1992","3A","A Shyvonna Rolle, Deerfield Beach, 2:20.3","Girls"," 2:20.3","800m","Florida"
"1992","2A","A Melissa Fritts, Episcopal (Jacksonville), 02:25.5","Girls"," 02:25.5","800m","Florida"
"1992","A","A Julian Reynolds, Benjamin (North Palm Beach), 2:16.40","Girls"," 2:16.40","800m","Florida"
"1993","4A","A Grace Daley, Lake Weir (Ocala), 2:13.09","Girls"," 2:13.09","800m","Florida"
"1993","3A","A Nicole Koritkosski, Plant (Tampa), 2:17.0","Girls"," 2:17.0","800m","Florida"
"1993","2A","A Maria Zajvaldova, South Sumter (Bushnell), 02:23.8","Girls"," 02:23.8","800m","Florida"
"1993","A","A Julian Reynolds, Benjamin (North Palm Beach), 2:20.06","Girls"," 2:20.06","800m","Florida"
"1994","5A","A Nicole Singelton, Oak Ridge (Orlando), 02:17.8","Girls"," 02:17.8","800m","Florida"
"1994","4A","A Monica Green, Raines (Jacksonville), 02:14.4","Girls"," 02:14.4","800m","Florida"
"1994","3A","A Tywana Dickerson, Ribault (Jacksonville), Pat Smith, Forrest (Jacksonville), 2:22.10","Girls"," 2:22.10","800m","Florida"
"1976","4A","Leslie Sullivan, Lake Brantley (Altamonte Springs), 2:17.9","Girls"," 2:17.9","880y","Florida"
"1976","3A","Betty Jo Springs, Bayshore (Bradenton), 02:22.2","Girls"," 02:22.2","880y","Florida"
"1976","2A","Julia Sievers, Coral Springs, 2:35.0","Girls"," 2:35.0","880y","Florida"
"1976","A","Julie Carlson, Westminster Academy (Fort Lauderdale), 2:38.2","Girls"," 2:38.2","880y","Florida"
"1977","4A","Genetta Brown, North Miami Beach, 2:16.0","Girls"," 2:16.0","880y","Florida"
"1977","3A","Betty Jo Springs, Bayshore (Bradenton), 02:14.5","Girls"," 02:14.5","880y","Florida"
"1977","2A","Diane Gowski, Clearwater Central Catholic, 02:27.5","Girls"," 02:27.5","880y","Florida"
"1977","A","Donna Campbell, Oak Hall (Gainesville), 02:21.2","Girls"," 02:21.2","880y","Florida"
"1978","4A","Susan Overbey, McArthur (Hollywood), 02:14.1","Girls"," 02:14.1","880y","Florida"
"1978","3A","Betty Jo Springs, Bayshore (Bradenton), 02:17.2","Girls"," 02:17.2","880y","Florida"
"1978","2A","Terry Johnson, Clearwater Central Catholic, 02:29.1","Girls"," 02:29.1","880y","Florida"
"1978","A","Cindy McDonald, Trinity Prep (Winter Park), 02:24.9","Girls"," 02:24.9","880y","Florida"
"1979","4A","Delight Chambers, Merritt Island, 2:14.7","Girls"," 2:14.7","880y","Florida"
"1979","3A","Betty Jo Springs, Bayshore (Bradenton), 02:14.9","Girls"," 02:14.9","880y","Florida"
"1979","2A","Michelle Sibley, Keystone Heights, 2:23.8","Girls"," 2:23.8","880y","Florida"
"1979","A","Donna Campbell, Oak Hall (Gainesville), 02:21.5","Girls"," 02:21.5","880y","Florida"
"1980","4A","Lisa Beck, Clearwater, 2:13.39","Girls"," 2:13.39","880y","Florida"
"1980","3A","Laura Shey, Buchholz (Gainesville), 2:15.20","Girls"," 2:15.20","880y","Florida"
"1980","2A","Michelle Sibley, Keystone Heights, 2:21.57","Girls"," 2:21.57","880y","Florida"
"1980","A","Elizabeth Pryor, Trinity Prep (Winter Park), 02:29.7","Girls"," 02:29.7","880y","Florida"
"1981","4A","Sandra Braasch, Orange Park, 2:18.2","Girls"," 2:18.2","880y","Florida"
"1981","3A","Laura Shey, Buchholz (Gainesville), 2:14.9","Girls"," 2:14.9","880y","Florida"
"1981","2A","Michelle Sibley, Keystone Heights, 2:20.3 02:18.9","Girls"," 2:20.3 02:18.9","880y","Florida"
"1994","2A","Erika Schlomer, Cocoa Beach, 2:23.96","Girls"," 2:23.96","800m","Florida"
"1994","A","Julian Reynolds, Benjamin (North Palm Beach), 2:20.06","Girls"," 2:20.06","800m","Florida"
"1995","6A","Karen Mayo, Miami Beach, 2:16.30","Girls"," 2:16.30","800m","Florida"
"1995","5A","Monica Green, Raines (Jacksonville), 02:18.8","Girls"," 02:18.8","800m","Florida"
"1995","4A","Shameka Walker, Bradford (Starke), 2:21.30","Girls"," 2:21.30","800m","Florida"
"1995","3A","Erika Schlomer, Cocoa Beach, 2:23.49","Girls"," 2:23.49","800m","Florida"
"1995","2A","Julian Reynolds, Benjamin (North Palm Beach), 2:14.21","Girls"," 2:14.21","800m","Florida"
"1996","6A","Elaine Graham-Gaynor, Boyd Anderson (Lauderdale Lakes), 2:14.71","Girls"," 2:14.71","800m","Florida"
"1996","5A","Shannon Heninger, Dwyer (Palm Beach Gardens), 2:16.46","Girls"," 2:16.46","800m","Florida"
"1996","4A","Shameka Walker, Bradford (Starke), 2:18.13","Girls"," 2:18.13","800m","Florida"
"1996","3A","Carrie Wilson, Clearwater Central Catholic, 02:22.8","Girls"," 02:22.8","800m","Florida"
"1996","2A","Kamille Bratton, Bradenton Christian, 02:20.9","Girls"," 02:20.9","800m","Florida"
"1997","6A","Aisha Stringer, Miami Killian, 2:14.62","Girls"," 2:14.62","800m","Florida"
