MEET,,EVENT,YEAR,PLACING,ATHLETE,SCHOOL,PERFORMANCE,,,,FN,
States,,220 Yd,1947,5,"Marcello, Joseph",LaSalle,,,,, ,
States,,220 Yd,1947,6,"Kingman, Robert",Hope,,,,, ,
States,,440 Yd,1947,1,"Kingman, Robert",Hope,53.0,,,, ,
States,,440 Yd,1947,2,"Tiernan, Robert",LaSalle,53.2,,,,,
States,,440 Yd,1947,T-3,"Aldrich, Robert",LaSalle,53.3,,,,,
States,,440 Yd,1947,T-3,"Wahl, Frank",Barrington,53.3,,,, ,
States,,440 Yd,1947,5,"Phayre, Robert",LaSalle,53.8,,,, ,
States,,440 Yd,1947,6,"Taylor, Reeves",Hope,53.9,,,, ,
States,,880 Yd,1947,1,"Tetreault, Conrad",LaSalle,2:03.7,,,, ,
States,,880 Yd,1947,2,"Tiernan, Robert",LaSalle,2:04.2,,,,,
States,,880 Yd,1947,3,"Sullivan, Leo",LaSalle,2:04.8,,,, ,
States,,880 Yd,1947,4,"Tobey, Joel",Barrington,2:05.4,,,, ,
States,,880 Yd,1947,5,"Griffin, Larry",Aldrich,2:08.8,,,, ,
States,,880 Yd,1947,6,"Phillips, John",LaSalle,2:09.2,,,, ,
States,,Mile,1947,1,"Lepry, Lou",LaSalle,4:40.8,,,,,
States,,Mile,1947,2,"Fitzgerald, Richard",Mount Pleasant,,,,, ,
States,,Mile,1947,3,"Gregory, Norman",North Providence,,,,, ,
States,,Mile,1947,4,"Johnson, Richard",LaSalle,,,,, ,
States,,Mile,1947,5,"Lee, Dick",LaSalle,,,,, ,
States,,Mile,1947,6,"Corbitt, Ralph",Central,,,,, ,
States,,Shot Put,1948,1,"Apkarian, Kazar",Hope,"54'5""",16.58 m,,,,
States,,Shot Put,1948,2,"Matteodo, Maurice",Hope,"51'1""",15.57 m,,, ,
States,,Shot Put,1948,3,"Garrity, Alan",Hope,"49'11 3/4""",15.23 m,,,,
States,,Shot Put,1948,4,"DeFalco, Rocco",LaSalle,"49'5 1/2""",15.07 m,,, ,
States,,Shot Put,1948,5,"Capuano, Robert",Cranston,"46'11""",14.30 m,,, ,
States,,Shot Put,1948,6,"DiLuglio, Thomas",Classical,"45'7""",13.89 m,,, ,
States,,Discus# (College Discus),1948,1,"Garrity, Alan",Hope,"128'9""",39.24 m,,,,
States,,Discus# (College Discus),1948,2,"Polofsky, Gordon",Cranston,"127'0 7/8""",38.70 m,,, ,
States,,Discus# (College Discus),1948,3,"Capuano, Robert",Cranston,"126'7 1/2""",38.58 m,,, ,
States,,Discus# (College Discus),1948,4,"Torgan, Hillard",Classical,"125'9 1/2""",38.32 m,,, ,
States,,Discus# (College Discus),1948,5,"Sweeney, Robert",LaSalle,"117'10 1/4""",35.92 m,,, ,
States,,Discus# (College Discus),1948,6,"Apkarian, Kazar",Hope,"108'0""",32.92 m,,,,
States,,Hammer,1948,1,"DiFalco, Rocco",LaSalle,"161'4""",49.17 m,,, ,
States,,Hammer,1948,2,"Black, Irv",Mount Pleasant,"153'2""",46.68 m,,, ,
States,,Hammer,1948,3,"Polofsky, Gordon",Cranston,"151'8""",46.22 m,,, ,
States,,Hammer,1948,4,Sugarman,Hope,"148'10""",45.36 m,,,fn,
States,,Hammer,1948,5,"Rubin, Stan",Hope,"147'5""",44.93 m,,, ,
States,,Hammer,1948,6,"Cooney, John",LaSalle,"145'5""",44.32 m,,, ,
States,,Javelin (Old Standard),1948,1,"Polofsky, Gordon",Cranston,"171'1""",52.14 m,,, ,
States,,Javelin (Old Standard),1948,2,"Danielson, Ray",East Providence,"162'10 1/2""",49.63 m,,, ,
States,,Javelin (Old Standard),1948,3,"Matteodo, Maurice",Hope,"161'10""",49.32 m,,, ,
States,,Javelin (Old Standard),1948,4,"Wilson, Francis",North Providence,"159'2""",48.51 m,,, ,
States,,Javelin (Old Standard),1948,5,"Blaisberg, Melvin",Classical,"150'8""",45.92 m,,, ,
States,,Javelin (Old Standard),1948,6,"Callanda, Vin",LaSalle,"143'5""",43.71 m,,, ,
States,,High Jump,1948,T-1,"Reis, Ken",Hope,"5'8 1/2""",1.74 m,,,,
States,,High Jump,1948,T-1,"Sylvander, Roy",Hope,"5'8 1/2""",1.74 m,,, ,
States,,High Jump,1948,3,"Eckert, Alan",East Providence,"5'6 1/2""",1.69 m,,,,
States,,High Jump,1948,4,"DiLuglio, Thomas",Classical,"5'4 1/2""",1.64 m,,, ,
States,,Long Jump,1948,1,"Aldrich, Robert",LaSalle,"20'11 1/2""",6.38 m,,,,
States,,Long Jump,1948,2,"Whittacker, George",Hope,"20'5""",6.22 m,,, ,
States,,Long Jump,1948,3,"McDonald, Thomas",Pawtucket East,"20'4 5/8""",6.21 m,,,,
States,,Long Jump,1948,4,"Lorimer, Robert",Aldrich,"20'1""",6.12 m,,, ,
States,,Long Jump,1948,5,"Clanton, James",Hope,"19'10 3/4""",6.06 m,,, ,
States,,Long Jump,1948,6,"Ferri, Joseph",Pawtucket East,"19'7 7/8""",5.98 m,,, ,
States,,Pole Vault,1948,T-1,"Linne, Robert",Hope,"11'6""",3.50 m,,, ,
States,,Pole Vault,1948,T-1,"Vetri, Anthony",Woonsocket,"11'6""",3.50 m,,,,
States,,Pole Vault,1948,3,"Brown, Robert",Pawtucket East,"11'0""",3.35 m,,, ,
States,,Pole Vault,1948,4,"McGowan, Andy",LaSalle,"10'6""",3.20 m,,, ,
States,,Pole Vault,1948,T-5,"Picard, Tony",Woonsocket,"10'0""",3.05 m,,, ,
States,,Pole Vault,1948,T-5,"Hickey, Al",LaSalle,"10'0""",3.05 m,,, ,
States,,120 Yd High Hurdles,1948,1,"Marra, Larry",East Providence,16.0,,,, ,
States,,120 Yd High Hurdles,1948,2,"Campagnone, John",LaSalle,,,,,,
States,,120 Yd High Hurdles,1948,3,"Wilson, Raymond",Hope,,,,, ,
States,,120 Yd High Hurdles,1948,4,"Brophy, Raymond",LaSalle,,,,, ,
States,,120 Yd High Hurdles,1948,5,"Blinkhorn, Richard",Woonsocket,,,,, ,
States,,120 Yd High Hurdles,1948,6,"Roy, James",Aldrich,,,,, ,
States,,220 Yd Low Hurdles,1948,1,"Campagnone, John",LaSalle,26.2,,,,,
States,,220 Yd Low Hurdles,1948,2,"Marra, Larry",East Providence,,,,, ,
States,,220 Yd Low Hurdles,1948,3,"Brophy, Raymond",LaSalle,,,,, ,
States,,220 Yd Low Hurdles,1948,4,"Wilson, Raymond",Hope,,,,, ,
States,,220 Yd Low Hurdles,1948,5,"Carnegis, Nick",Mount Pleasant,,,,, ,
States,,220 Yd Low Hurdles,1948,6,"Hamblett, Edward",Pawtucket East,,,,, ,
States,,100 Yd,1948,1,"Collins, Dick",East Providence,10.3,,,, ,
States,,100 Yd,1948,2,"Henry, Jack",Aldrich,,,,, ,
States,,100 Yd,1948,3,"Walsh, Daniel",LaSalle,,,,, ,
States,,100 Yd,1948,4,"Hitchen, George",Cranston,,,,, ,
States,,100 Yd,1948,5,"Giangrande, Anthony",Mount Pleasant,,,,, ,
States,,100 Yd,1948,6,"Whittacker, George",Hope,,,,, ,
States,,220 Yd  ,1948,1,"Walsh, Daniel",LaSalle,23.0,,,, ,
States,,220 Yd,1948,2,"Tiernan, Richard",LaSalle,,,,,,
States,,220 Yd,1948,3,"Collins, Dick",East Providence,,,,, ,
States,,220 Yd,1948,4,"Corvese, Arthur",Mount Pleasant,,,,, ,
States,,220 Yd,1948,5,"Aldrich, Robert",LaSalle,,,,,,
States,,220 Yd,1948,6,"Henry, Jack",Aldrich,,,,, ,
States,,440 Yd,1948,1,"Tiernan, Richard",LaSalle,52.0,,,,,
States,,440 Yd,1948,2,"Tesseiro, Spiro",Hope,52.3,,,, ,
States,,440 Yd,1948,3,"Impaliazzo, Sal",Hope,52.4,,,, ,
States,,440 Yd,1948,4,"Dillon, William",LaSalle,52.7,,,, ,
States,,440 Yd,1948,5,"Aldrich, Robert",LaSalle,53.0,,,,,
States,,440 Yd,1948,6,"McAlice, James",LaSalle,53.7,,,, ,
States,,880 Yd,1948,1,"Tiernan, Robert",LaSalle,2:02.3,,,,,
States,,880 Yd,1948,2,"Tetreault, Conrad",LaSalle,2:02.6,,,, ,
States,,880 Yd,1948,3,"Jolicoeur, Dick",Cranston,2:03.5,,,, ,
States,,880 Yd,1948,4,"Corbitt, Ralph",Central,2:05.1,,,, ,
States,,Mile,1948,1,"Johnson, Richard",LaSalle,4:32.3,,,, ,
States,,Mile,1948,2,"Slade, Clyde",East Providence,,,,, ,
States,,Mile,1948,3,"Newman, Bill",Hope,,,,, ,
States,,Mile,1948,4,"Harris, Herb",Hope,,,,, ,
States,,Mile,1948,5,"Lancaster, Harry",Pawtucket East,,,,, ,
States,,Mile,1948,6,"DiSarro, Gene",LaSalle,,,,, ,
States,,Shot Put,1949,1,"Capuano, Robert",Cranston,"51'3 1/4""",15.62 m,,, ,
States,,Shot Put,1949,2,"Torgan, Hillard",Classical,"50'8 3/4""",15.46 m,,, ,
States,,Shot Put,1949,3,"Blount, Frank",South Kingstown,"49'1 1/2""",14.97 m,,, ,
States,,Shot Put,1949,4,"Watmough, Joe",LaSalle,"48'6 1/2""",14.79 m,,, ,
States,,Shot Put,1949,5,"Clanton, Melvin",Hope,"47'1 3/4""",14.37 m,,, ,
States,,Shot Put,1949,6,"Sweeney, Robert",LaSalle,"47'0 1/2""",14.33 m,,, ,
States,,Discus# (College Discus),1949,1,"Capuano, Robert",Cranston,"127'10 3/4""",38.96 m,,, ,
States,,Discus# (College Discus),1949,2,"Torgan, Hillard",Classical,"122'10 1/2""",37.44 m,,, ,
States,,Discus# (College Discus),1949,3,"Sweeney, Robert",LaSalle,"119'0 1/4""",36.27 m,,, ,
States,,Discus# (College Discus),1949,4,"Watmough, Joe",LaSalle,"113'5 1/2""",34.56 m,,, ,
States,,Discus# (College Discus),1949,5,"Barnes, Jack",Barrington,"110'8""",33.73 m,,, ,
States,,Discus# (College Discus),1949,6,"Moniz, James",East Providence,"106'5""",32.44 m,,, ,
States,,Hammer,1949,1,"Curran, Bob",Hope,"163'7 1/2""",49.86 m,,, ,
States,,Hammer,1949,2,"Cooney, Michael",LaSalle,"157'8""",48.06 m,,, ,
States,,Hammer,1949,3,"Torgan, Hillard",Classical,"152'11 3/4""",46.60 m,,, ,
States,,Hammer,1949,4,"Langlois, William",LaSalle,"146'1 1/2""",44.52 m,,, ,
States,,Javelin (Old Standard),1949,1,"DiLuglio, Thomas",Classical,"164'0 1/2""",49.98 m,,, ,
States,,Javelin (Old Standard),1949,2,"Ridgewell, Link",Central,"163'0 1/2""",49.68 m,,, ,
States,,Javelin (Old Standard),1949,3,"Callanda, Vin",LaSalle,"162'4 3/4""",49.48 m,,, ,
States,,Javelin (Old Standard),1949,4,"McCauley, John",LaSalle,"154'7 3/4""",47.12 m,,, ,
States,,Javelin (Old Standard),1949,5,"DeLuca, Gene",Mount Pleasant,"154'7""",47.12 m,,, ,
States,,Javelin (Old Standard),1949,6,"Childs, John",Barrington,"149'4""",45.52 m,,, ,
States,,High Jump,1949,1,"Reis, Ken",Hope,"6'2 1/4""",1.89 m,,,,
States,,High Jump,1949,2,"Carter, David",Barrington,"5'9 5/8""",1.76 m,,, ,
States,,High Jump,1949,3,"Carlson, Alan",Cranston,"5'7""",1.70 m,,, ,
States,,High Jump,1949,T-4,"Fletcher, Alan",Aldrich,"5'4""",1.62 m,,, ,
States,,High Jump,1949,T-4,"Neirinckx, Roland",LaSalle,"5'4""",1.62 m,,, ,
States,,High Jump,1949,T-4,"Petterutti, Ralph",LaSalle,"5'4""",1.62 m,,, ,
States,,High Jump,1949,T-4,"Andrade, Edwin",Hope,"5'4""",1.62 m,,, ,
States,,High Jump,1949,T-4,"Bento, Tony",North Providence,"5'4""",1.62 m,,, ,
States,,Long Jump,1949,1,"McDonald, Thomas",Pawtucket East,"21'3 7/8""",6.49 m,,,,
States,,Long Jump,1949,2,"Carlson, Alan",Cranston,"20'9 1/2""",6.33 m,,, ,
States,,Long Jump,1949,3,"Seidel, Art",Pawtucket East,"20'6 7/8""",6.26 m,,, ,
States,,Long Jump,1949,4,"Ferri, Joseph",Pawtucket East,"20'4 5/8""",6.21 m,,, ,
States,,Long Jump,1949,5,"Prosper, Paul",LaSalle,"20'3 5/8""",6.18 m,,, ,
States,,Long Jump,1949,6,"Pina, Bernard",LaSalle,"19'10 5/8""",6.05 m,,, ,
States,,Pole Vault,1949,T-1,"Linne, Robert",Hope,"11'4""",3.45 m,,, ,
States,,Pole Vault,1949,T-1,"McGowan, Andy",LaSalle,"11'4""",3.45 m,,, ,
States,,Pole Vault,1949,T-1,"Brown, Robert",Pawtucket East,"11'4""",3.45 m,,, ,
States,,Pole Vault,1949,4,"Woods, John",Pawtucket East,"11'0""",3.35 m,,, ,
States,,Pole Vault,1949,T-5,"Blake, John",Pawtucket East,"10'6""",3.20 m,,, ,
States,,Pole Vault,1949,T-5,"Carter, David",Barrington,"10'6""",3.20 m,,, ,
States,,120 Yd High Hurdles,1949,1,"Campagnone, John",LaSalle,15.9,,,, ,
States,,120 Yd High Hurdles,1949,2,"Brophy, Raymond",LaSalle,,,,, ,
States,,120 Yd High Hurdles,1949,3,"Peyton, George",Hope,,,,, ,
States,,120 Yd High Hurdles,1949,4,"Reis, Ken",Hope,,,,,,
States,,120 Yd High Hurdles,1949,5,"Wilson, Raymond",Hope,,,,, ,
States,,120 Yd High Hurdles,1949,6,"Roy, James",Aldrich,,,,, ,
States,,220 Yd Low Hurdles,1949,1,"Campagnone, John",LaSalle,25.5,,,,,
States,,220 Yd Low Hurdles,1949,2,"Peyton, George",Hope,,,,, ,
States,,220 Yd Low Hurdles,1949,3,"Brophy, Raymond",LaSalle,,,,, ,
States,,220 Yd Low Hurdles,1949,4,"Wilson, Raymond",Hope,,,,, ,
States,,220 Yd Low Hurdles,1949,5,"Reis, Ken",Hope,,,,,,
States,,220 Yd Low Hurdles,1949,6,"Buba, Dick",Pawtucket East,,,,, ,
States,,100 Yd,1949,1,"Corvese, Arthur",Mount Pleasant,10.3,,,, ,
States,,100 Yd,1949,2,"DeSisto, Joseph",Barrington,,,,, ,
States,,100 Yd,1949,3,"Thirdgill, Wilson",Hope,,,,, ,
States,,100 Yd,1949,4,"Pina, Bernard",LaSalle,,,,, ,
States,,100 Yd,1949,5,"Seidel, Art",Pawtucket East,,,,, ,
States,,100 Yd,1949,6,"Brenner, Henry",Woonsocket,,,,, ,
States,,220 Yd  ,1949,1,"Corvese, Arthur",Mount Pleasant,22.8,,,, ,
States,,220 Yd,1949,2,"Brenner, Henry",Woonsocket,,,,, ,
States,,220 Yd,1949,3,"Tetreault, Conrad",LaSalle,,,,, ,
States,,220 Yd,1949,4,"Barbato, Vincent",Mount Pleasant,,,,, ,
States,,220 Yd,1949,5,"McCauley, John",LaSalle,,,,, ,
States,,220 Yd,1949,6,"Thirdgill, Wilson",Hope,,,,, ,
States,,440 Yd,1949,1,"Pizzo, Joseph",Hope,52.8,,,, ,
States,,440 Yd,1949,2,"Kehoe, David",LaSalle,53.0,,,, ,
States,,440 Yd,1949,3,"Ryan, Timothy",LaSalle,53.2,,,, ,
States,,440 Yd,1949,4,"Silverman, Perry",Hope,53.3,,,, ,
States,,440 Yd,1949,5,"Kehoe, Ed",LaSalle,54.3,,,, ,
States,,440 Yd,1949,6,"Chihoski, Bob",Classical,55.2,,,, ,
States,,880 Yd,1949,1,"Johnson, Richard",LaSalle,2:01.5,,,, ,
States,,880 Yd,1949,2,"Reid, Bill",Pawtucket East,,,,, ,
States,,880 Yd,1949,3,"Jolicoeur, Dick",Cranston,,,,, ,
States,,880 Yd,1949,4,"Harris, Herb",Hope,,,,, ,
States,,880 Yd,1949,5,"Joyce, Henry",Classical,,,,, ,
States,,880 Yd,1949,6,"Conde, Richard",LaSalle,,,,, ,
States,,Mile,1949,1,"Newman, Bill",Hope,4:35.6,,,, ,
States,,Mile,1949,2,"Ollen, Richard",Cranston,,,,, ,
States,,Mile,1949,3,"Lancaster, Harry",Pawtucket East,,,,, ,
States,,Mile,1949,4,"Conde, Robert",LaSalle,,,,, ,
States,,Mile,1949,5,"DiSarro, Gene",LaSalle,,,,, ,
States,,Mile,1949,6,"Mitchroney, Dominic",LaSalle,,,,, ,
States,,Shot Put,1950,1,"Pederzani, Kenneth",LaSalle,"46'8 1/2""",14.23 m,,, ,
States,,Shot Put,1950,2,"Bates, Richard",Classical,"46'5 1/4""",14.15 m,,, ,
States,,Shot Put,1950,3,"Penta, Robert",East Providence,"45'8 1/2""",13.93 m,,, ,
States,,Shot Put,1950,4,"Kavanagh, Robert",LaSalle,"45'6 1/2""",13.88 m,,, ,
States,,Shot Put,1950,5,"Baker, Nathaniel",Classical,"45'2 3/4""",13.78 m,,, ,
States,,Shot Put,1950,6,"Girouard, George",Pawtucket East,"44'7 3/4""",13.60 m,,, ,
States,,Discus# (College Discus),1950,1,"Keneshea, Donald",Hope,"112'1 1/2""",34.16 m,,, ,
States,,Discus# (College Discus),1950,2,"Bates, Richard",Classical,"109'6""",33.38 m,,, ,
States,,Discus# (College Discus),1950,3,"Fusco, Anthony",Cranston,"107'2""",32.66 m,,, ,
States,,Discus# (College Discus),1950,4,"Baccari, Michael",Classical,"106'6 1/2""",32.46 m,,, ,
States,,Discus# (College Discus),1950,T-5,"Girouard, George",Pawtucket East,"105'7 1/2""",32.18 m,,, ,
States,,Discus# (College Discus),1950,T-5,"Kavanagh, Robert",LaSalle,"105'7 1/2""",32.18 m,,, ,
States,,Hammer,1950,1,"Cooney, Michael",LaSalle,"163'3""",49.76 m,,, ,
States,,Hammer,1950,2,"McGroarty, William",LaSalle,"152'6""",46.48 m,,, ,
States,,Hammer,1950,3,"Hamilton, James",Barrington,"150'11 3/4""",46.00 m,,, ,
States,,Hammer,1950,4,"Gallogly, James",Cranston,"131'0 1/4""",39.92 m,,, ,
States,,Hammer,1950,5,"DeSisto, John",Barrington,"126'0 1/2""",38.40 m,,, ,
States,,Hammer,1950,6,"Cogliano, Francis",Classical,"118'1 1/2""",35.99 m,,, ,
States,,Javelin (Old Standard),1950,1,"Van Luven, Kenneth",Central,"157'3""",47.92 m,,,,
States,,Javelin (Old Standard),1950,2,"Pizzo, Joseph",Hope,"154'3""",47.02 m,,, ,
States,,Javelin (Old Standard),1950,3,"Reid, Bill",Pawtucket East,"150'8""",45.92 m,,, ,
States,,Javelin (Old Standard),1950,4,"Avedisian, George",Aldrich,"147'9""",45.03 m,,, ,
States,,Javelin (Old Standard),1950,5,"West, James",LaSalle,"143'6""",43.74 m,,, ,
States,,Javelin (Old Standard),1950,6,"Rao, Bob",Mount Pleasant,"140'5 1/2""",42.80 m,,, ,
States,,High Jump,1950,1,"Van Luven, Kenneth",Central,"5'11 3/4""",1.82 m,,,,
States,,High Jump,1950,T-2,"Carter, David",Barrington,"5'10 7/8""",1.80 m,,, ,
States,,High Jump,1950,T-2,"Joyal, Robert",Central,"5'10 7/8""",1.80 m,,, ,
States,,High Jump,1950,T-2,"Andrade, Edwin",Hope,"5'10 7/8""",1.80 m,,, ,
States,,High Jump,1950,T-5,"Greenlaw, James",Hope,"5'4 3/4""",1.64 m,,, ,
States,,High Jump,1950,T-5,"Morris, Richard",East Providence,"5'4 3/4""",1.64 m,,, ,
States,,High Jump,1950,T-5,"Zoglio, Bob",LaSalle,"5'4 3/4""",1.64 m,,, ,
States,,High Jump,1950,T-5,"Murphy, Kevin",Classical,"5'4 3/4""",1.64 m,,, ,
States,,Long Jump,1950,1,"Carlson, Alan",Cranston,"21'9""",6.63 m,,,,
States,,Long Jump,1950,2,"Faison, Lloyd",Rogers,"21'7 3/8""",6.59 m,,, ,
States,,Long Jump,1950,3,"Pizzo, Joseph",Hope,"21'6 3/4""",6.57 m,,, ,
States,,Long Jump,1950,4,"Van Luven, Kenneth",Central,"21'5""",6.52 m,,,,
States,,Long Jump,1950,5,"Winston, Anderson",Hope,"19'11 3/4""",6.09 m,,, ,
States,,Long Jump,1950,6,"Sands, Robert",Cranston,"19'11""",6.07 m,,,,
States,,Pole Vault,1950,1,"Blake, John",Pawtucket East,"11'7 5/8""",3.54 m,,, ,
States,,Pole Vault,1950,2,"Carter, David",Barrington,"11'0""",3.35 m,,, ,
States,,Pole Vault,1950,3,"Skelley, Dick",Hope,"10'6""",3.20 m,,, ,
States,,Pole Vault,1950,4,"Murphy, Dick",Central,"10'0""",3.05 m,,, ,
States,,Pole Vault,1950,T-5,"McAlice, Ed",LaSalle,"9'6""",2.89 m,,, ,
States,,Pole Vault,1950,T-5,"Cormier, William",Cranston,"9'6""",2.89 m,,, ,
States,,Pole Vault,1950,T-5,"Andrade, Edwin",Hope,"9'6""",2.89 m,,, ,
States,,120 Yd High Hurdles,1950,1,"Brophy, Raymond",LaSalle,15.8,,,, ,
States,,120 Yd High Hurdles,1950,2,"Ratta, Richard",East Providence,,,,, ,
States,,120 Yd High Hurdles,1950,3,"Slocum, Dean",LaSalle,,,,, ,
States,,120 Yd High Hurdles,1950,4,"Fayne, John",LaSalle,,,,, ,
States,,120 Yd High Hurdles,1950,5,"Shortall, Thomas",Mount Pleasant,,,,, ,
States,,220 Yd Low Hurdles,1950,1,"Brophy, Raymond",LaSalle,25.1,,,, ,
States,,220 Yd Low Hurdles,1950,2,"Peyton, George",Hope,,,,, ,
States,,220 Yd Low Hurdles,1950,3,"Slocum, Dean",LaSalle,,,,, ,
States,,220 Yd Low Hurdles,1950,4,"Fayne, John",LaSalle,,,,, ,
States,,220 Yd Low Hurdles,1950,5,"Campagnone, John",LaSalle,,,,, ,
States,,220 Yd Low Hurdles,1950,6,"Morris, Richard",East Providence,,,,, ,
States,,100 Yd,1950,1,"Lachappelle, Paul",LaSalle,10.6,,,, ,
States,,100 Yd,1950,2,"Pina, Bernard",LaSalle,,,,, ,
